mu,n,m,alpha,mutation,div_threshold,euclidean_norm,generations,max_generations,diversity,fitness,opt,starting_robustness,ending_robustness
2,5,1,0,1RAI,0.25,0,1.9,100.0,0.5599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,1RAI,0.25,1,1.9,100.0,0.5599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,1RAI,0.5,0,2.7,100.0,0.62,0.0,0.0,0.3,0.3
2,5,1,0,1RAI,0.5,1,2.7,100.0,0.62,0.0,0.0,0.3,0.3
2,5,1,0,1RAI,0.75,0,17.4,100.0,0.8200000000000001,0.0,0.0,0.3,0.6
2,5,1,0,1RAI,0.75,1,17.4,100.0,0.8200000000000001,0.0,0.0,0.3,0.6
2,5,1,0,1RAI,0.85,0,21.1,100.0,0.96,0.0,0.0,0.6,0.5
2,5,1,0,1RAI,0.85,1,21.1,100.0,0.96,0.0,0.0,0.6,0.5
2,5,1,0,1RAI,1.0,0,21.1,100.0,0.96,0.0,0.0,0.5,0.5
2,5,1,0,1RAI,1.0,1,21.1,100.0,0.96,0.0,0.0,0.5,0.5
2,5,1,0,XRAI_0.00,0.25,0,5.0,100.0,0.5599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,XRAI_0.00,0.25,1,5.0,100.0,0.5599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,XRAI_0.00,0.5,0,5.3,100.0,0.62,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.00,0.5,1,5.3,100.0,0.62,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.00,0.75,0,20.0,100.0,0.86,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.00,0.75,1,20.0,100.0,0.86,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.00,0.85,0,29.2,100.0,0.9400000000000001,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.00,0.85,1,29.2,100.0,0.9400000000000001,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.00,1.0,0,29.2,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.00,1.0,1,29.2,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.10,0.25,0,4.0,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.10,0.25,1,4.0,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.10,0.5,0,4.1,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.10,0.5,1,4.1,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.10,0.75,0,21.1,100.0,0.86,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_0.10,0.75,1,21.1,100.0,0.86,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_0.10,0.85,0,25.1,100.0,0.96,0.0,0.0,0.5,0.4
2,5,1,0,XRAI_0.10,0.85,1,25.1,100.0,0.96,0.0,0.0,0.5,0.4
2,5,1,0,XRAI_0.10,1.0,0,25.1,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.10,1.0,1,25.1,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.15,0.25,0,4.5,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.15,0.25,1,4.5,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.15,0.5,0,4.6,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.15,0.5,1,4.6,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.15,0.75,0,18.5,100.0,0.86,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_0.15,0.75,1,18.5,100.0,0.86,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_0.15,0.85,0,27.4,100.0,0.96,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.15,0.85,1,27.4,100.0,0.96,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.15,1.0,0,27.4,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.15,1.0,1,27.4,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.20,0.25,0,4.5,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.20,0.25,1,4.5,100.0,0.58,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.20,0.5,0,4.6,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.20,0.5,1,4.6,100.0,0.6,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.20,0.75,0,17.2,100.0,0.8400000000000001,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.20,0.75,1,17.2,100.0,0.8400000000000001,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_0.20,0.85,0,29.6,100.0,0.96,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_0.20,0.85,1,29.6,100.0,0.96,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_0.20,1.0,0,29.6,100.0,0.96,0.0,0.0,0.5,0.5
2,5,1,0,XRAI_0.20,1.0,1,29.6,100.0,0.96,0.0,0.0,0.5,0.5
2,5,1,0,XRAI_0.40,0.25,0,3.3,100.0,0.6599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,XRAI_0.40,0.25,1,3.3,100.0,0.6599999999999999,0.0,0.0,0.1,0.3
2,5,1,0,XRAI_0.40,0.5,0,3.5,100.0,0.72,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.40,0.5,1,3.5,100.0,0.72,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.40,0.75,0,20.3,100.0,0.8400000000000001,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.40,0.75,1,20.3,100.0,0.8400000000000001,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_0.40,0.85,0,35.0,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.40,0.85,1,35.0,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.40,1.0,0,35.0,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.40,1.0,1,35.0,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_0.75,0.25,0,2.9,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_0.75,0.25,1,2.9,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_0.75,0.5,0,4.1,100.0,0.7,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.75,0.5,1,4.1,100.0,0.7,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_0.75,0.75,0,16.8,100.0,0.86,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_0.75,0.75,1,16.8,100.0,0.86,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_0.75,0.85,0,21.1,100.0,0.96,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.75,0.85,1,21.1,100.0,0.96,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.75,1.0,0,21.1,100.0,0.96,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_0.75,1.0,1,21.1,100.0,0.96,0.0,0.0,0.3,0.3
2,5,1,0,XRAI_1.00,0.25,0,3.9,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.00,0.25,1,3.9,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.00,0.5,0,4.8,100.0,0.6799999999999999,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.00,0.5,1,4.8,100.0,0.6799999999999999,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.00,0.75,0,15.9,100.0,0.8400000000000001,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_1.00,0.75,1,15.9,100.0,0.8400000000000001,0.0,0.0,0.2,0.5
2,5,1,0,XRAI_1.00,0.85,0,30.7,100.0,0.9400000000000001,0.0,0.0,0.5,0.7
2,5,1,0,XRAI_1.00,0.85,1,30.7,100.0,0.9400000000000001,0.0,0.0,0.5,0.7
2,5,1,0,XRAI_1.00,1.0,0,30.7,100.0,0.9400000000000001,0.0,0.0,0.7,0.7
2,5,1,0,XRAI_1.00,1.0,1,30.7,100.0,0.9400000000000001,0.0,0.0,0.7,0.7
2,5,1,0,XRAI_1.20,0.25,0,3.6,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.20,0.25,1,3.6,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.20,0.5,0,5.2,100.0,0.6599999999999999,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.20,0.5,1,5.2,100.0,0.6599999999999999,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.20,0.75,0,16.8,100.0,0.86,0.0,0.0,0.2,0.6
2,5,1,0,XRAI_1.20,0.75,1,16.8,100.0,0.86,0.0,0.0,0.2,0.6
2,5,1,0,XRAI_1.20,0.85,0,29.2,100.0,0.9400000000000001,0.0,0.0,0.6,0.5
2,5,1,0,XRAI_1.20,0.85,1,29.2,100.0,0.9400000000000001,0.0,0.0,0.6,0.5
2,5,1,0,XRAI_1.20,1.0,0,29.2,100.0,0.9400000000000001,0.0,0.0,0.5,0.5
2,5,1,0,XRAI_1.20,1.0,1,29.2,100.0,0.9400000000000001,0.0,0.0,0.5,0.5
2,5,1,0,XRAI_1.50,0.25,0,4.2,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.50,0.25,1,4.2,100.0,0.6,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_1.50,0.5,0,8.6,100.0,0.72,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.50,0.5,1,8.6,100.0,0.72,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_1.50,0.75,0,17.6,100.0,0.9,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_1.50,0.75,1,17.6,100.0,0.9,0.0,0.0,0.2,0.3
2,5,1,0,XRAI_1.50,0.85,0,23.7,100.0,0.96,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_1.50,0.85,1,23.7,100.0,0.96,0.0,0.0,0.3,0.4
2,5,1,0,XRAI_1.50,1.0,0,23.7,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_1.50,1.0,1,23.7,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,0.25,0,1.8,100.0,0.62,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_2.00,0.25,1,1.8,100.0,0.62,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_2.00,0.5,0,4.6,100.0,0.78,0.0,0.0,0.1,0.4
2,5,1,0,XRAI_2.00,0.5,1,4.6,100.0,0.78,0.0,0.0,0.1,0.4
2,5,1,0,XRAI_2.00,0.75,0,19.9,100.0,0.8800000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,0.75,1,19.9,100.0,0.8800000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,0.85,0,24.0,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,0.85,1,24.0,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,1.0,0,24.0,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.00,1.0,1,24.0,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,0.25,0,2.1,100.0,0.58,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_2.50,0.25,1,2.1,100.0,0.58,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_2.50,0.5,0,6.0,100.0,0.76,0.0,0.0,0.1,0.4
2,5,1,0,XRAI_2.50,0.5,1,6.0,100.0,0.76,0.0,0.0,0.1,0.4
2,5,1,0,XRAI_2.50,0.75,0,17.0,100.0,0.86,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,0.75,1,17.0,100.0,0.86,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,0.85,0,27.1,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,0.85,1,27.1,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,1.0,0,27.1,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_2.50,1.0,1,27.1,100.0,0.9400000000000001,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_3.00,0.25,0,2.0,100.0,0.6799999999999999,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_3.00,0.25,1,2.0,100.0,0.6799999999999999,0.0,0.0,0.1,0.1
2,5,1,0,XRAI_3.00,0.5,0,2.9,100.0,0.8,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_3.00,0.5,1,2.9,100.0,0.8,0.0,0.0,0.1,0.2
2,5,1,0,XRAI_3.00,0.75,0,12.8,100.0,0.8800000000000001,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_3.00,0.75,1,12.8,100.0,0.8800000000000001,0.0,0.0,0.2,0.2
2,5,1,0,XRAI_3.00,0.85,0,16.0,100.0,0.96,0.0,0.0,0.2,0.4
2,5,1,0,XRAI_3.00,0.85,1,16.0,100.0,0.96,0.0,0.0,0.2,0.4
2,5,1,0,XRAI_3.00,1.0,0,16.0,100.0,0.96,0.0,0.0,0.4,0.4
2,5,1,0,XRAI_3.00,1.0,1,16.0,100.0,0.96,0.0,0.0,0.4,0.4
