seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
126,2,25,1,0.3,0,0,2500,0,10,10,1RAI,0,0,eucl,0
126,2,25,1,0.3,0,1,2500,0.12,10,10,1RAI,0,0,eucl,0.1
10396,2,15,5,0.3,26,0,900,0,0,0,1RAI,0,0,eucl,0
126,2,25,1,0.3,0,4,2500,0.32,11,10,1RAI,0,0,eucl,0.25
126,2,25,1,0.3,0,5,2500,0.4,11,10,1RAI,0,0,eucl,0.4
10396,2,15,5,0.3,26,1,900,0.2,0,0,1RAI,0,0,eucl,0.1
126,2,25,1,0.3,0,6,2500,0.52,11,10,1RAI,0,0,eucl,0.5
8306,2,25,3,0.6,18,0,2500,0,1,1,1RAI,0,0,eucl,0
126,2,25,1,0.3,0,11,2500,0.72,11,10,1RAI,0,0,eucl,0.65
10396,2,15,5,0.3,26,4,900,0.4,0,0,1RAI,0,0,eucl,0.25
8306,2,25,3,0.6,18,1,2500,0.12,1,1,1RAI,0,0,eucl,0.1
10396,2,15,5,0.3,26,4,900,0.4,0,0,1RAI,0,0,eucl,0.4
126,2,25,1,0.3,0,19,2500,0.84,11,10,1RAI,0,0,eucl,0.75
126,2,25,1,0.3,0,19,2500,0.84,11,10,1RAI,0,0,eucl,0.8
8306,2,25,3,0.6,18,4,2500,0.28,2,1,1RAI,0,0,eucl,0.25
126,2,25,1,0.3,0,22,2500,0.88,11,10,1RAI,0,0,eucl,0.85
10396,2,15,5,0.3,26,5,900,0.6,0,0,1RAI,0,0,eucl,0.5
8306,2,25,3,0.6,18,5,2500,0.4,2,1,1RAI,0,1,eucl,0.4
126,2,25,1,0.3,0,28,2500,0.92,12,10,1RAI,0,0,eucl,0.9
51,2,10,1,0.3,0,0,400,0,2,2,1RAI,0,0,eucl,0
305,5,10,1,0.3,2,0,2500,1.11022e-16,1,1,1RAI,0,0,eucl,0
51,2,10,1,0.3,0,1,400,0.3,2,2,1RAI,0,0,eucl,0.1
2031,10,10,1,1,10,0,10000,2.22045e-16,2,2,1RAI,0,0,eucl,0
16450,5,25,5,0.3,25,0,15625,0,0,0,1RAI,0,0,eucl,0
305,5,10,1,0.3,2,3,2500,0.185138,1,1,1RAI,0,0,eucl,0.1
51,2,10,1,0.3,0,1,400,0.3,2,2,1RAI,0,0,eucl,0.25
1764,10,15,1,0.3,4,0,22500,0,1,1,1RAI,0,0,eucl,0
2031,10,10,1,1,10,2,10000,0.104455,2,2,1RAI,0,0,eucl,0.1
51,2,10,1,0.3,0,2,400,0.4,3,2,1RAI,0,0,eucl,0.4
305,5,10,1,0.3,2,4,2500,0.276813,1,1,1RAI,0,0,eucl,0.25
