seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
26,2,5,1,0.3,0,0,100,0,0,0,XRAI_0.10,0,0,eucl,0
76,2,15,1,0.3,0,0,900,0,2,2,XRAI_0.10,0,0,eucl,0
14173,5,50,3,0.6,16,0,62500,0,16,16,XRAI_0.10,0,0,eucl,0
305,5,10,1,0.3,2,0,2500,1.11022e-16,1,1,XRAI_0.10,0,0,eucl,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.1
76,2,15,1,0.3,0,1,900,0.2,2,2,XRAI_0.10,0,0,eucl,0.1
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.25
76,2,15,1,0.3,0,2,900,0.4,2,2,XRAI_0.10,0,0,eucl,0.25
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.4
305,5,10,1,0.3,2,2,2500,0.107812,1,1,XRAI_0.10,0,0,eucl,0.1
126,2,25,1,0.3,0,0,2500,0,10,10,XRAI_0.10,0,0,eucl,0
51,2,10,1,0.3,0,0,400,0,2,2,XRAI_0.10,0,0,eucl,0
305,5,10,1,0.3,2,6,2500,0.339697,1,1,XRAI_0.10,0,0,eucl,0.25
8306,2,25,3,0.6,18,0,2500,0,1,1,XRAI_0.10,0,0,eucl,0
16450,5,25,5,0.3,25,0,15625,0,0,0,XRAI_0.10,0,0,eucl,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.5
14173,5,50,3,0.6,16,4,62500,0.128243,16,16,XRAI_0.10,0,0,eucl,0.1
10396,2,15,5,0.3,26,0,900,0,0,0,XRAI_0.10,0,0,eucl,0
76,2,15,1,0.3,0,2,900,0.4,2,2,XRAI_0.10,0,0,eucl,0.4
126,2,25,1,0.3,0,2,2500,0.12,10,10,XRAI_0.10,0,0,eucl,0.1
305,5,10,1,0.3,2,7,2500,0.468023,1,1,XRAI_0.10,0,0,eucl,0.4
1764,10,15,1,0.3,4,0,22500,0,1,1,XRAI_0.10,0,0,eucl,0
305,5,10,1,0.3,2,8,2500,0.522507,1,1,XRAI_0.10,0,0,eucl,0.5
76,2,15,1,0.3,0,4,900,0.666667,3,2,XRAI_0.10,0,0,eucl,0.5
16450,5,25,5,0.3,25,4,15625,0.114833,0,0,XRAI_0.10,0,0,eucl,0.1
10396,2,15,5,0.3,26,1,900,0.133333,0,0,XRAI_0.10,0,0,eucl,0.1
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,eucl,0.65
76,2,15,1,0.3,0,4,900,0.666667,3,2,XRAI_0.10,0,0,eucl,0.65
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,eucl,0.75
10396,2,15,5,0.3,26,3,900,0.266667,0,0,XRAI_0.10,0,0,eucl,0.25
126,2,25,1,0.3,0,5,2500,0.32,12,10,XRAI_0.10,0,0,eucl,0.25
76,2,15,1,0.3,0,9,900,0.8,4,2,XRAI_0.10,0,0,eucl,0.75
10396,2,15,5,0.3,26,4,900,0.533333,0,0,XRAI_0.10,0,0,eucl,0.4
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,eucl,0.8
1764,10,15,1,0.3,4,4,22500,0.148567,1,1,XRAI_0.10,0,0,eucl,0.1
305,5,10,1,0.3,2,13,2500,0.671366,1,1,XRAI_0.10,0,0,eucl,0.65
16450,5,25,5,0.3,25,11,15625,0.278224,1,0,XRAI_0.10,0,0,eucl,0.25
10396,2,15,5,0.3,26,4,900,0.533333,0,0,XRAI_0.10,0,0,eucl,0.5
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,eucl,0.85
14173,5,50,3,0.6,16,8,62500,0.264935,17,16,XRAI_0.10,0,0,eucl,0.25
305,5,10,1,0.3,2,19,2500,0.757101,2,1,XRAI_0.10,0,0,eucl,0.75
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,eucl,0.9
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,eucl,0.1
