seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
26,2,5,1,0.3,0,0,100,0,0,0,XRAI_0.10,0,0,sum,0
10396,2,15,5,0.3,26,0,900,0,0,0,XRAI_0.10,0,0,sum,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.1
305,5,10,1,0.3,2,0,2500,0,1,1,XRAI_0.10,0,0,sum,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.25
2031,10,10,1,1,10,0,10000,0,2,2,XRAI_0.10,0,0,sum,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.4
76,2,15,1,0.3,0,0,900,0,2,2,XRAI_0.10,0,0,sum,0
1764,10,15,1,0.3,4,0,22500,0,1,1,XRAI_0.10,0,0,sum,0
51,2,10,1,0.3,0,0,400,0,2,2,XRAI_0.10,0,0,sum,0
76,2,15,1,0.3,0,1,900,0.2,2,2,XRAI_0.10,0,0,sum,0.1
10396,2,15,5,0.3,26,1,900,0.133333,0,0,XRAI_0.10,0,0,sum,0.1
76,2,15,1,0.3,0,2,900,0.4,2,2,XRAI_0.10,0,0,sum,0.25
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,sum,0.1
1764,10,15,1,0.3,4,4,22500,0.164444,1,1,XRAI_0.10,0,0,sum,0.1
4319,2,50,1,1,9,0,10000,0,24,24,XRAI_0.10,0,0,sum,0
76,2,15,1,0.3,0,2,900,0.4,2,2,XRAI_0.10,0,0,sum,0.4
10396,2,15,5,0.3,26,3,900,0.266667,0,0,XRAI_0.10,0,0,sum,0.25
16450,5,25,5,0.3,25,0,15625,0,0,0,XRAI_0.10,0,0,sum,0
2031,10,10,1,1,10,4,10000,0.186667,2,2,XRAI_0.10,0,0,sum,0.1
126,2,25,1,0.3,0,0,2500,0,10,10,XRAI_0.10,0,0,sum,0
305,5,10,1,0.3,2,2,2500,0.12,1,1,XRAI_0.10,0,0,sum,0.1
8306,2,25,3,0.6,18,0,2500,0,1,1,XRAI_0.10,0,0,sum,0
26,2,5,1,0.3,0,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.5
2031,10,10,1,1,10,6,10000,0.288889,2,2,XRAI_0.10,0,0,sum,0.25
16450,5,25,5,0.3,25,4,15625,0.116,0,0,XRAI_0.10,0,0,sum,0.1
8306,2,25,3,0.6,18,1,2500,0.12,1,1,XRAI_0.10,0,0,sum,0.1
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.65
126,2,25,1,0.3,0,2,2500,0.12,10,10,XRAI_0.10,0,0,sum,0.1
8306,2,25,3,0.6,18,3,2500,0.32,4,1,XRAI_0.10,0,0,sum,0.25
467,5,5,1,1,8,0,625,0,0,0,XRAI_0.10,0,0,sum,0
305,5,10,1,0.3,2,6,2500,0.36,1,1,XRAI_0.10,0,0,sum,0.25
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.75
16450,5,25,5,0.3,25,12,15625,0.268,1,0,XRAI_0.10,0,0,sum,0.25
467,5,5,1,1,8,1,625,0.16,0,0,XRAI_0.10,0,0,sum,0.1
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.8
8306,2,25,3,0.6,18,4,2500,0.44,4,1,XRAI_0.10,0,0,sum,0.4
305,5,10,1,0.3,2,7,2500,0.49,1,1,XRAI_0.10,0,0,sum,0.4
467,5,5,1,1,8,2,625,0.42,0,0,XRAI_0.10,0,0,sum,0.25
8306,2,25,3,0.6,18,6,2500,0.56,5,1,XRAI_0.10,0,0,sum,0.5
2031,10,10,1,1,10,8,10000,0.415556,2,2,XRAI_0.10,0,0,sum,0.4
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.85
467,5,5,1,1,8,2,625,0.42,0,0,XRAI_0.10,0,0,sum,0.4
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.9
305,5,10,1,0.3,2,8,2500,0.54,1,1,XRAI_0.10,0,0,sum,0.5
16450,5,25,5,0.3,25,26,15625,0.408,3,0,XRAI_0.10,0,0,sum,0.4
126,2,25,1,0.3,0,5,2500,0.32,12,10,XRAI_0.10,0,0,sum,0.25
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,0.95
2031,10,10,1,1,10,11,10000,0.531111,2,2,XRAI_0.10,0,0,sum,0.5
126,2,25,1,0.3,0,11,2500,0.44,12,10,XRAI_0.10,0,0,sum,0.4
26,2,5,1,0.3,0,3,100,1,1,0,XRAI_0.10,0,0,sum,1
8306,2,25,3,0.6,18,13,2500,0.68,7,1,XRAI_0.10,0,0,sum,0.65
