seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
26,2,5,1,0.3,0,0,100,0,0,0,XRAI_1.00,0,0,eucl,0
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.1
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.4
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.5
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.65
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.75
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.8
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.85
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.9
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,0.95
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,eucl,1
467,5,5,1,1,8,0,625,1.11022e-16,0,0,XRAI_1.00,0,0,eucl,0
33,2,5,1,0.3,1,0,100,0,0,0,XRAI_1.00,0,0,eucl,0
51,2,10,1,0.3,0,0,400,0,2,2,XRAI_1.00,0,0,eucl,0
4319,2,50,1,1,9,0,10000,0,24,24,XRAI_1.00,0,0,eucl,0
16450,5,25,5,0.3,25,0,15625,0,0,0,XRAI_1.00,0,0,eucl,0
76,2,15,1,0.3,0,0,900,0,2,2,XRAI_1.00,0,0,eucl,0
14173,5,50,3,0.6,16,0,62500,0,16,16,XRAI_1.00,0,0,eucl,0
16450,5,25,5,0.3,25,4,15625,0.114833,0,0,XRAI_1.00,0,0,eucl,0.1
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,eucl,0.1
4319,2,50,1,1,9,1,10000,0.12,24,24,XRAI_1.00,0,0,eucl,0.1
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,eucl,0.25
467,5,5,1,1,8,1,625,0.137446,0,0,XRAI_1.00,0,0,eucl,0.1
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,eucl,0.4
16450,5,25,5,0.3,25,8,15625,0.296296,1,0,XRAI_1.00,0,0,eucl,0.25
4319,2,50,1,1,9,3,10000,0.3,25,24,XRAI_1.00,0,0,eucl,0.25
76,2,15,1,0.3,0,7,900,0.733333,2,2,XRAI_1.00,0,0,eucl,0.5
14173,5,50,3,0.6,16,3,62500,0.11393,16,16,XRAI_1.00,0,0,eucl,0.1
4319,2,50,1,1,9,5,10000,0.4,25,24,XRAI_1.00,0,0,eucl,0.4
76,2,15,1,0.3,0,7,900,0.733333,2,2,XRAI_1.00,0,0,eucl,0.65
2031,10,10,1,1,10,0,10000,2.22045e-16,2,2,XRAI_1.00,0,0,eucl,0
467,5,5,1,1,8,2,625,0.348847,0,0,XRAI_1.00,0,0,eucl,0.25
8306,2,25,3,0.6,18,0,2500,0,1,1,XRAI_1.00,0,0,eucl,0
2031,10,10,1,1,10,2,10000,0.114437,2,2,XRAI_1.00,0,0,eucl,0.1
467,5,5,1,1,8,3,625,0.54393,0,0,XRAI_1.00,0,1,eucl,0.4
8306,2,25,3,0.6,18,1,2500,0.28,1,1,XRAI_1.00,0,0,eucl,0.1
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,0,1,eucl,0.1
467,5,5,1,1,8,3,625,0.54393,0,0,XRAI_1.00,1,1,eucl,0.5
31663,10,50,5,0.3,23,0,250000,0,7,7,XRAI_1.00,0,0,eucl,0
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.25
467,5,5,1,1,8,4,625,0.671366,0,0,XRAI_1.00,1,1,eucl,0.65
126,2,25,1,0.3,0,0,2500,0,10,10,XRAI_1.00,0,0,eucl,0
467,5,5,1,1,8,6,625,0.810263,1,0,XRAI_1.00,1,1,eucl,0.75
2031,10,10,1,1,10,4,10000,0.282133,2,2,XRAI_1.00,0,1,eucl,0.25
467,5,5,1,1,8,6,625,0.810263,1,0,XRAI_1.00,1,1,eucl,0.8
126,2,25,1,0.3,0,2,2500,0.12,10,10,XRAI_1.00,0,0,eucl,0.1
1764,10,15,1,0.3,4,0,22500,0,1,1,XRAI_1.00,0,0,eucl,0
467,5,5,1,1,8,8,625,0.858579,1,0,XRAI_1.00,1,1,eucl,0.85
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,eucl,0.1
2031,10,10,1,1,10,6,10000,0.433529,2,2,XRAI_1.00,1,1,eucl,0.4
8306,2,25,3,0.6,18,1,2500,0.28,1,1,XRAI_1.00,0,0,eucl,0.25
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,eucl,0.25
15755,25,25,1,0.3,2,0,390625,1.11022e-16,13,13,XRAI_1.00,0,0,eucl,0
8306,2,25,3,0.6,18,4,2500,0.52,6,1,XRAI_1.00,0,0,eucl,0.4
10396,2,15,5,0.3,26,0,900,0,0,0,XRAI_1.00,0,0,eucl,0
8306,2,25,3,0.6,18,4,2500,0.52,6,1,XRAI_1.00,0,0,eucl,0.5
126,2,25,1,0.3,0,3,2500,0.32,10,10,XRAI_1.00,0,1,eucl,0.25
10396,2,15,5,0.3,26,1,900,0.333333,0,0,XRAI_1.00,0,0,eucl,0.1
2031,10,10,1,1,10,8,10000,0.550062,2,2,XRAI_1.00,1,1,eucl,0.5
305,5,10,1,0.3,2,0,2500,1.11022e-16,1,1,XRAI_1.00,0,0,eucl,0
8306,2,25,3,0.6,18,9,2500,0.72,8,1,XRAI_1.00,0,0,eucl,0.65
10396,2,15,5,0.3,26,1,900,0.333333,0,0,XRAI_1.00,0,0,eucl,0.25
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.4
31663,10,50,5,0.3,23,7,250000,0.106343,7,7,XRAI_1.00,0,0,eucl,0.1
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.5
2031,10,10,1,1,10,13,10000,0.66072,2,2,XRAI_1.00,1,1,eucl,0.65
126,2,25,1,0.3,0,6,2500,0.4,12,10,XRAI_1.00,1,1,eucl,0.4
8306,2,25,3,0.6,18,17,2500,0.76,8,1,XRAI_1.00,0,0,eucl,0.75
1764,10,15,1,0.3,4,2,22500,0.101112,1,1,XRAI_1.00,0,1,eucl,0.1
305,5,10,1,0.3,2,2,2500,0.137446,1,1,XRAI_1.00,0,0,eucl,0.1
8306,2,25,3,0.6,18,18,2500,0.84,8,1,XRAI_1.00,0,0,eucl,0.8
126,2,25,1,0.3,0,7,2500,0.52,12,10,XRAI_1.00,1,0,eucl,0.5
10396,2,15,5,0.3,26,3,900,0.4,3,0,XRAI_1.00,0,0,eucl,0.4
2031,10,10,1,1,10,18,10000,0.751896,2,2,XRAI_1.00,1,1,eucl,0.75
8306,2,25,3,0.6,18,19,2500,0.88,9,1,XRAI_1.00,0,0,eucl,0.85
