seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
26,2,5,1,0.3,0,0,100,0,0,0,XRAI_1.00,0,0,sum,0
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.1
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.4
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.5
8306,2,25,3,0.6,18,0,2500,0,1,1,XRAI_1.00,0,0,sum,0
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.65
305,5,10,1,0.3,2,0,2500,0,1,1,XRAI_1.00,0,0,sum,0
4319,2,50,1,1,9,0,10000,0,24,24,XRAI_1.00,0,0,sum,0
2031,10,10,1,1,10,0,10000,0,2,2,XRAI_1.00,0,0,sum,0
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.75
126,2,25,1,0.3,0,0,2500,0,10,10,XRAI_1.00,0,0,sum,0
305,5,10,1,0.3,2,2,2500,0.16,1,1,XRAI_1.00,0,0,sum,0.1
4319,2,50,1,1,9,1,10000,0.12,24,24,XRAI_1.00,0,0,sum,0.1
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.8
2031,10,10,1,1,10,2,10000,0.131111,2,2,XRAI_1.00,0,0,sum,0.1
126,2,25,1,0.3,0,2,2500,0.12,10,10,XRAI_1.00,0,0,sum,0.1
305,5,10,1,0.3,2,4,2500,0.27,1,1,XRAI_1.00,0,0,sum,0.25
16450,5,25,5,0.3,25,0,15625,0,0,0,XRAI_1.00,0,0,sum,0
76,2,15,1,0.3,0,0,900,0,2,2,XRAI_1.00,0,0,sum,0
14173,5,50,3,0.6,16,0,62500,0,16,16,XRAI_1.00,0,0,sum,0
467,5,5,1,1,8,0,625,0,0,0,XRAI_1.00,0,0,sum,0
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,sum,0.1
16450,5,25,5,0.3,25,4,15625,0.116,0,0,XRAI_1.00,0,0,sum,0.1
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,sum,0.25
467,5,5,1,1,8,1,625,0.16,0,0,XRAI_1.00,0,0,sum,0.1
76,2,15,1,0.3,0,1,900,0.4,2,2,XRAI_1.00,0,0,sum,0.4
1764,10,15,1,0.3,4,0,22500,0,1,1,XRAI_1.00,0,0,sum,0
51,2,10,1,0.3,0,0,400,0,2,2,XRAI_1.00,0,0,sum,0
2031,10,10,1,1,10,4,10000,0.331111,2,2,XRAI_1.00,0,1,sum,0.25
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,sum,0.1
126,2,25,1,0.3,0,3,2500,0.32,10,10,XRAI_1.00,0,1,sum,0.25
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,sum,0.25
1764,10,15,1,0.3,4,2,22500,0.115556,1,1,XRAI_1.00,0,1,sum,0.1
305,5,10,1,0.3,2,6,2500,0.49,1,1,XRAI_1.00,0,0,sum,0.4
2031,10,10,1,1,10,5,10000,0.406667,2,2,XRAI_1.00,1,1,sum,0.4
10396,2,15,5,0.3,26,0,900,0,0,0,XRAI_1.00,0,0,sum,0
1764,10,15,1,0.3,4,3,22500,0.263704,1,1,XRAI_1.00,1,1,sum,0.25
305,5,10,1,0.3,2,7,2500,0.63,1,1,XRAI_1.00,0,0,sum,0.5
10396,2,15,5,0.3,26,1,900,0.333333,0,0,XRAI_1.00,0,0,sum,0.1
126,2,25,1,0.3,0,6,2500,0.4,12,10,XRAI_1.00,1,1,sum,0.4
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,sum,0.4
31663,10,50,5,0.3,23,0,250000,0,7,7,XRAI_1.00,0,0,sum,0
467,5,5,1,1,8,2,625,0.44,0,0,XRAI_1.00,0,0,sum,0.25
16450,5,25,5,0.3,25,8,15625,0.3,1,0,XRAI_1.00,0,0,sum,0.25
76,2,15,1,0.3,0,7,900,0.733333,2,2,XRAI_1.00,0,0,sum,0.5
14173,5,50,3,0.6,16,3,62500,0.116,16,16,XRAI_1.00,0,0,sum,0.1
467,5,5,1,1,8,2,625,0.44,0,0,XRAI_1.00,0,0,sum,0.4
76,2,15,1,0.3,0,7,900,0.733333,2,2,XRAI_1.00,0,0,sum,0.65
15755,25,25,1,0.3,2,0,390625,0,13,13,XRAI_1.00,0,0,sum,0
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,sum,0.75
467,5,5,1,1,8,3,625,0.64,0,0,XRAI_1.00,0,1,sum,0.5
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,sum,0.8
16450,5,25,5,0.3,25,12,15625,0.436,1,0,XRAI_1.00,0,0,sum,0.4
467,5,5,1,1,8,4,625,0.74,0,0,XRAI_1.00,1,1,sum,0.65
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,sum,0.85
126,2,25,1,0.3,0,7,2500,0.52,12,10,XRAI_1.00,1,0,sum,0.5
305,5,10,1,0.3,2,8,2500,0.66,1,1,XRAI_1.00,0,0,sum,0.65
2031,10,10,1,1,10,7,10000,0.537778,2,2,XRAI_1.00,1,1,sum,0.5
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,sum,0.5
8306,2,25,3,0.6,18,1,2500,0.28,1,1,XRAI_1.00,0,0,sum,0.1
126,2,25,1,0.3,0,15,2500,0.68,11,10,XRAI_1.00,0,0,sum,0.65
10396,2,15,5,0.3,26,1,900,0.333333,0,0,XRAI_1.00,0,0,sum,0.25
305,5,10,1,0.3,2,10,2500,0.8,2,1,XRAI_1.00,0,0,sum,0.75
8306,2,25,3,0.6,18,1,2500,0.28,1,1,XRAI_1.00,0,0,sum,0.25
305,5,10,1,0.3,2,10,2500,0.8,2,1,XRAI_1.00,0,0,sum,0.8
4319,2,50,1,1,9,3,10000,0.3,25,24,XRAI_1.00,0,0,sum,0.25
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,sum,0.65
126,2,25,1,0.3,0,20,2500,0.76,12,10,XRAI_1.00,0,0,sum,0.75
305,5,10,1,0.3,2,14,2500,0.86,2,1,XRAI_1.00,0,0,sum,0.85
51,2,10,1,0.3,0,3,400,0.8,3,2,XRAI_1.00,0,0,sum,0.75
8306,2,25,3,0.6,18,4,2500,0.52,6,1,XRAI_1.00,0,0,sum,0.4
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.85
305,5,10,1,0.3,2,19,2500,0.9,2,1,XRAI_1.00,0,0,sum,0.9
4319,2,50,1,1,9,5,10000,0.4,25,24,XRAI_1.00,0,0,sum,0.4
51,2,10,1,0.3,0,3,400,0.8,3,2,XRAI_1.00,0,0,sum,0.8
126,2,25,1,0.3,0,21,2500,0.84,12,10,XRAI_1.00,0,0,sum,0.8
1764,10,15,1,0.3,4,8,22500,0.416296,1,1,XRAI_1.00,1,1,sum,0.4
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.9
8306,2,25,3,0.6,18,4,2500,0.52,6,1,XRAI_1.00,0,0,sum,0.5
126,2,25,1,0.3,0,31,2500,0.92,14,10,XRAI_1.00,0,0,sum,0.85
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,0.95
51,2,10,1,0.3,0,4,400,0.9,3,2,XRAI_1.00,0,0,sum,0.85
4319,2,50,1,1,9,7,10000,0.5,25,24,XRAI_1.00,0,0,sum,0.5
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.00,0,0,sum,1
2031,10,10,1,1,10,11,10000,0.655556,2,2,XRAI_1.00,1,1,sum,0.65
51,2,10,1,0.3,0,4,400,0.9,3,2,XRAI_1.00,0,0,sum,0.9
126,2,25,1,0.3,0,31,2500,0.92,14,10,XRAI_1.00,0,0,sum,0.9
305,5,10,1,0.3,2,36,2500,0.95,2,1,XRAI_1.00,0,0,sum,0.95
4319,2,50,1,1,9,10,10000,0.72,31,24,XRAI_1.00,0,0,sum,0.65
8306,2,25,3,0.6,18,9,2500,0.72,8,1,XRAI_1.00,0,0,sum,0.65
10396,2,15,5,0.3,26,3,900,0.4,3,0,XRAI_1.00,0,0,sum,0.4
1764,10,15,1,0.3,4,12,22500,0.508148,1,1,XRAI_1.00,1,1,sum,0.5
51,2,10,1,0.3,0,15,400,1,3,2,XRAI_1.00,0,0,sum,0.95
126,2,25,1,0.3,0,48,2500,0.96,13,10,XRAI_1.00,0,0,sum,0.95
10396,2,15,5,0.3,26,4,900,0.6,2,0,XRAI_1.00,0,0,sum,0.5
2031,10,10,1,1,10,15,10000,0.768889,2,2,XRAI_1.00,1,1,sum,0.75
8306,2,25,3,0.6,18,17,2500,0.76,8,1,XRAI_1.00,0,0,sum,0.75
51,2,10,1,0.3,0,15,400,1,3,2,XRAI_1.00,0,0,sum,1
33,2,5,1,0.3,1,0,100,0,0,0,XRAI_1.00,0,0,sum,0
8306,2,25,3,0.6,18,18,2500,0.84,8,1,XRAI_1.00,0,0,sum,0.8
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,0,1,sum,0.1
1764,10,15,1,0.3,4,19,22500,0.657778,2,1,XRAI_1.00,1,1,sum,0.65
63,2,10,1,0.3,1,0,400,0,0,0,XRAI_1.00,1,1,sum,0
2031,10,10,1,1,10,17,10000,0.806667,2,2,XRAI_1.00,1,1,sum,0.8
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.1
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,sum,0.25
4319,2,50,1,1,9,13,10000,0.82,37,24,XRAI_1.00,0,0,sum,0.75
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.25
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,sum,0.4
