seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
51,2,10,1,0.3,0,1,400,0.6,1,1,XRAI_1.50,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.25
151,2,30,1,0.3,0,5,3600,0.333333,9,9,XRAI_1.50,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.5
51,2,10,1,0.3,0,1,400,0.6,1,1,XRAI_1.50,0,0,eucl,0.5
151,2,30,1,0.3,0,7,3600,0.566667,12,9,XRAI_1.50,0,0,eucl,0.5
24124,2,15,5,1,14,1,900,0.466667,5,5,XRAI_1.50,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
76,2,15,1,0.3,0,1,900,0.466667,2,2,XRAI_1.50,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
8917,5,10,1,1,8,2,2500,0.410085,0,0,XRAI_1.50,0,0,eucl,0.25
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,eucl,1
76,2,15,1,0.3,0,2,900,0.6,2,2,XRAI_1.50,0,0,eucl,0.5
24124,2,15,5,1,14,2,900,0.6,7,5,XRAI_1.50,0,0,eucl,0.5
151,2,30,1,0.3,0,11,3600,0.766667,12,9,XRAI_1.50,0,0,eucl,0.75
8917,5,10,1,1,8,3,2500,0.584067,0,0,XRAI_1.50,0,0,eucl,0.5
183,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.25
76,2,15,1,0.3,0,3,900,0.866667,3,2,XRAI_1.50,0,0,eucl,0.75
183,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.5
24124,2,15,5,1,14,4,900,0.866667,7,5,XRAI_1.50,0,0,eucl,0.75
151,2,30,1,0.3,0,17,3600,0.866667,15,9,XRAI_1.50,0,0,eucl,0.85
1167,5,5,3,1,2,4,625,0.295727,1,1,XRAI_1.50,0,0,eucl,0.25
24124,2,15,5,1,14,4,900,0.866667,7,5,XRAI_1.50,0,0,eucl,0.85
76,2,15,1,0.3,0,3,900,0.866667,3,2,XRAI_1.50,0,0,eucl,0.85
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
8917,5,10,1,1,8,6,2500,0.780911,0,0,XRAI_1.50,0,0,eucl,0.75
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
24124,2,15,5,1,14,8,900,1,8,5,XRAI_1.50,0,0,eucl,1
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,eucl,1
164103,2,50,1,1,26,2,10000,0.4,30,30,XRAI_1.50,0,0,eucl,0.25
51,2,10,1,0.3,0,2,400,0.8,1,1,XRAI_1.50,0,0,eucl,0.75
19828,10,15,3,0.6,16,4,22500,0.250679,6,6,XRAI_1.50,0,0,eucl,0.25
8095,10,10,5,0.6,10,6,10000,0.264549,3,3,XRAI_1.50,0,0,eucl,0.25
51,2,10,1,0.3,0,3,400,0.9,2,1,XRAI_1.50,0,0,eucl,0.85
72239,2,30,3,1,20,1,3600,0.3,15,15,XRAI_1.50,0,0,eucl,0.25
164103,2,50,1,1,26,4,10000,0.6,35,30,XRAI_1.50,0,0,eucl,0.5
124693,5,50,5,0.6,28,5,62500,0.261055,33,32,XRAI_1.50,0,0,eucl,0.25
72239,2,30,3,1,20,4,3600,0.566667,16,15,XRAI_1.50,0,0,eucl,0.5
51,2,10,1,0.3,0,64,400,1,3,1,XRAI_1.50,0,0,eucl,1
76,2,15,1,0.3,0,29,900,1,5,2,XRAI_1.50,0,0,eucl,1
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.25
151,2,30,1,0.3,0,140,3600,1,15,9,XRAI_1.50,0,0,eucl,1
1167,5,5,3,1,2,7,625,0.552786,1,1,XRAI_1.50,0,0,eucl,0.5
57195,10,30,1,0.6,22,11,90000,0.260481,10,10,XRAI_1.50,0,0,eucl,0.25
543,2,15,1,0.3,1,1,900,0.4,3,3,XRAI_1.50,0,0,eucl,0.25
26065,2,15,5,1,15,1,900,0.333333,5,5,XRAI_1.50,0,0,eucl,0.25
1083,2,30,1,0.3,1,2,3600,0.3,12,11,XRAI_1.50,0,0,eucl,0.25
543,2,15,1,0.3,1,5,900,0.6,3,3,XRAI_1.50,0,0,eucl,0.5
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.5
1167,5,5,3,1,2,21,625,0.763357,2,1,XRAI_1.50,0,0,eucl,0.75
8917,5,10,1,1,8,15,2500,0.869616,0,0,XRAI_1.50,0,0,eucl,0.85
1083,2,30,1,0.3,1,6,3600,0.5,13,11,XRAI_1.50,0,0,eucl,0.5
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.75
543,2,15,1,0.3,1,16,900,0.8,5,3,XRAI_1.50,0,0,eucl,0.75
1083,2,30,1,0.3,1,15,3600,0.833333,14,11,XRAI_1.50,0,0,eucl,0.75
350,2,5,1,0.3,2,5,100,1,0,0,XRAI_1.50,0,1,eucl,0.85
26065,2,15,5,1,15,2,900,0.6,6,5,XRAI_1.50,0,0,eucl,0.5
350,2,5,1,0.3,2,5,100,1,0,0,XRAI_1.50,1,1,eucl,1
1083,2,30,1,0.3,1,19,3600,0.9,14,11,XRAI_1.50,0,0,eucl,0.85
543,2,15,1,0.3,1,17,900,0.933333,5,3,XRAI_1.50,0,0,eucl,0.85
527,2,5,1,0.3,3,2,100,0.6,0,0,XRAI_1.50,1,1,eucl,0.25
8095,10,10,5,0.6,10,12,10000,0.53812,4,3,XRAI_1.50,0,1,eucl,0.5
363,2,10,1,0.3,1,1,400,0.6,1,1,XRAI_1.50,0,0,eucl,0.25
164103,2,50,1,1,26,9,10000,0.76,35,30,XRAI_1.50,0,0,eucl,0.75
363,2,10,1,0.3,1,1,400,0.6,1,1,XRAI_1.50,0,0,eucl,0.5
72239,2,30,3,1,20,7,3600,0.766667,16,15,XRAI_1.50,0,0,eucl,0.75
363,2,10,1,0.3,1,4,400,0.8,3,1,XRAI_1.50,0,0,eucl,0.75
