seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
51,2,10,1,0.3,0,1,400,0.6,1,1,XRAI_1.50,0,0,sum,0.25
72239,2,30,3,1,20,1,3600,0.3,15,15,XRAI_1.50,0,0,sum,0.25
51,2,10,1,0.3,0,1,400,0.6,1,1,XRAI_1.50,0,0,sum,0.5
76,2,15,1,0.3,0,1,900,0.466667,2,2,XRAI_1.50,0,0,sum,0.25
151,2,30,1,0.3,0,5,3600,0.333333,9,9,XRAI_1.50,0,0,sum,0.25
51,2,10,1,0.3,0,2,400,0.8,1,1,XRAI_1.50,0,0,sum,0.75
24124,2,15,5,1,14,1,900,0.466667,5,5,XRAI_1.50,0,0,sum,0.25
51,2,10,1,0.3,0,3,400,0.9,2,1,XRAI_1.50,0,0,sum,0.85
164103,2,50,1,1,26,2,10000,0.4,30,30,XRAI_1.50,0,0,sum,0.25
8917,5,10,1,1,8,1,2500,0.28,0,0,XRAI_1.50,0,0,sum,0.25
151,2,30,1,0.3,0,7,3600,0.566667,12,9,XRAI_1.50,0,0,sum,0.5
164103,2,50,1,1,26,4,10000,0.6,35,30,XRAI_1.50,0,0,sum,0.5
76,2,15,1,0.3,0,2,900,0.6,2,2,XRAI_1.50,0,0,sum,0.5
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,sum,0.25
19828,10,15,3,0.6,16,4,22500,0.305185,6,6,XRAI_1.50,0,0,sum,0.25
164103,2,50,1,1,26,9,10000,0.76,35,30,XRAI_1.50,0,0,sum,0.75
76,2,15,1,0.3,0,3,900,0.866667,3,2,XRAI_1.50,0,0,sum,0.75
24124,2,15,5,1,14,2,900,0.6,7,5,XRAI_1.50,0,0,sum,0.5
51,2,10,1,0.3,0,64,400,1,3,1,XRAI_1.50,0,0,sum,1
151,2,30,1,0.3,0,11,3600,0.766667,12,9,XRAI_1.50,0,0,sum,0.75
24124,2,15,5,1,14,4,900,0.866667,7,5,XRAI_1.50,0,0,sum,0.75
164103,2,50,1,1,26,15,10000,0.86,37,30,XRAI_1.50,0,0,sum,0.85
1167,5,5,3,1,2,4,625,0.32,1,1,XRAI_1.50,0,0,sum,0.25
363,2,10,1,0.3,1,1,400,0.6,1,1,XRAI_1.50,0,0,sum,0.25
57195,10,30,1,0.6,22,10,90000,0.253333,10,10,XRAI_1.50,0,0,sum,0.25
363,2,10,1,0.3,1,1,400,0.6,1,1,XRAI_1.50,0,0,sum,0.5
26,2,5,1,0.3,0,1,100,1,0,0,XRAI_1.50,0,0,sum,0.5
8095,10,10,5,0.6,10,6,10000,0.284444,3,3,XRAI_1.50,0,0,sum,0.25
19828,10,15,3,0.6,16,10,22500,0.54963,6,6,XRAI_1.50,0,1,sum,0.5
8917,5,10,1,1,8,2,2500,0.52,0,0,XRAI_1.50,0,0,sum,0.5
24124,2,15,5,1,14,4,900,0.866667,7,5,XRAI_1.50,0,0,sum,0.85
363,2,10,1,0.3,1,4,400,0.8,3,1,XRAI_1.50,0,0,sum,0.75
